Product,Target Audience,Criteria Type,Criteria,Place,Search Query,Signals
WAAP,Adult and Dating Platforms (Large),NTH,The Company has its own SOC,"Careers, About / Security, LinkedIn Jobs","((""Security Operations Center"" OR ""Security Operations Centre"" OR ""SOC team"" OR ""Cyber Defense Center"") (site:{website} OR site:careers.{root_domain} OR site:jobs.{root_domain} OR site:linkedin.com/company/{company}))","Job titles (SOC Analyst, SOC Manager), page headings (SOC, Security Operations Centre), “24/7 monitoring”"
WAAP,Betting Platforms,Qualification,Betting services listed,"Website content, category listings, app store description","site:{website} (sportsbook OR ""betting"" OR wager OR ""place your bet"" OR ""casino"" OR wagering)","Use of real-time data feeds or live streaming for betting events; terms like “bet”, “odds”, “casino”"
WAAP,Betting Platforms,Mandatory,Age verification - Age gates (“I am over 18”) or identity verification,Landing & overlay scripts,"site:{website} (""over 18"" OR ""must be 18"" OR ""adult-only"" OR ""age-gate"" OR ""age-verification"" OR ""verify age"")","JS variables (ageGate, AgeVerify), overlay text (“enter DOB”, “verify age”)"
WAAP,Betting Platforms,NTH,Use of real-time data feeds or live streaming for betting events,"Front-end docs, Blog","site:{website} (""live odds"" OR ""in-play data"" OR ""live score feed"" OR ""streaming odds"" OR ""real-time betting API"")","Phrases: “live odds feed”, “in-play betting API”, WebSocket endpoints"
WAAP,Betting Platforms,NTH,The Company has its own SOC,"Careers, About / Security, LinkedIn Jobs","((""Security Operations Center"" OR ""Security Operations Centre"" OR ""SOC team"" OR ""Cyber Defense Center"") (site:{website} OR site:careers.{root_domain} OR site:jobs.{root_domain} OR site:linkedin.com/company/{company}))","Job titles (SOC Analyst, SOC Manager), page headings (SOC, Security Operations Centre), “24/7 monitoring”"
WAAP,Retail,Qualification,The company sells products or services online,general description,"site:{website} (""shop"" OR ""store"" OR ""products"" OR ""ecommerce"")","Product listings, pricing tables, product detail pages, catalog views"
WAAP,Retail,Mandatory,The website includes shopping cart functionality or a “Buy Now”/“Add to Cart” system,General site & product pages,"site:{website} (""add to cart"" OR ""buy now"" OR ""basket"" OR ""checkout"" OR ""cart.js"" OR ""woocommerce_cart"")","HTML buttons (btn-add-to-cart), SVG cart icon, “basket total”"
WAAP,Retail,Mandatory,Has login system,General,"site:{website} (inurl:login OR inurl:signin OR ""sign in"" OR ""/account"") OR site:auth.{root_domain} OR site:account.{root_domain}","Sign-in/login forms, account access options, user session detection, URLs like /login, /signin"
WAAP,Retail,NTH,Security compliance,Security / Trust page,"site:{website} OR site:trust.{root_domain} (""ISO 27"" OR ""SOC 2"" OR ""PCI DSS"" OR ""HIPAA"" OR ""GDPR"")","Mentions of standards in privacy or compliance pages, trust badges, secure processing statements"
WAAP,Retail,NTH,B2C focus,general description,"site:{website} (""customers"" OR ""consumers"" OR ""for individuals"" OR ""delivered to your door"")","Marketing language targeting individuals, product reviews, customer testimonials, FAQs aimed at personal buyers"
